index,len,data
54168,117,"[-11,-6,-11,-8,-11,-9,-11,-11,-10,-11,-11,-12,-10,-13,-9,-14,-10,-15,-8,-16,-8,-16,-7,-16,-8,-18,-6,-19,-5,-18,-6,-19,-5,-20,-4,-18,-3,-19,-3,-20,-3,-19,-2,-19,-1,-20,-2,-20,-2,-20,-3,-19,-2,-20,-2,-20,-1,-21,-1,-22,-1,-21,-1,-22,-2,-22,-2,-22,-1,-23,-2,-23,-2,-23,-3,-22,-1,-25,-3,-26,-1,-27,-2,-26,-3,-27,-1,-28,-1,-28,-1,-28,-2,-29,-2,-30,-1,-31,0,-32,-1,-32,-2,-32,0,-33,0,-33,0,-34,0,-34,0,-34,0,0,0,0,0,0,-36,-2,-35,-1,-34,0,-34,-2,-34,0,-33,0,-33,-2,-33,-2,-33,-3,-32,-2,-31,-3,-29,-4,-31,-3,-30,-4,-30,-2,-27,-3,-27,-2,-27,-4,-27,-3,-26,-3,-25,-3,-25,-4,-24,-3,-25,-4,-24,-6,-23,-5,-23,-3,-23,-3,-22,-3,-22,-3,-22,-4,-22,-5,-22,-5,-22,-4,-22,-5,-22,-7,-22,-7,-22,-6,-22,-9,-21,-9,-21,-8,-21,-8,-21,-10,-20,-10,-20,-11,-19,-11,-18,-11,-18,-12,-16,-13,-15,-13,-15,-14,-13,-14,-12,-16,-11,-15,-10,-15,-7,-14,-6,-14]"
54169,117,"[11,-7,11,-7,11,-6,14,-6,15,-5,16,-4,17,-3,18,-2,17,-1,18,0,19,0,19,1,18,1,20,2,20,4,19,4,18,5,18,6,18,7,19,8,19,8,18,9,17,9,17,8,18,8,18,9,18,10,18,10,19,11,18,11,18,10,17,12,19,13,18,12,19,14,20,13,19,14,19,13,19,15,20,15,20,17,21,17,21,18,21,19,21,20,22,21,22,21,22,21,20,23,21,22,22,23,21,24,22,25,20,25,20,27,21,28,20,27,0,0,0,0,0,0,30,-18,30,-18,28,-18,30,-16,31,-16,30,-16,29,-15,30,-14,28,-12,30,-11,29,-11,29,-10,28,-11,28,-9,27,-10,26,-8,27,-8,26,-7,26,-6,25,-6,25,-7,24,-6,24,-4,24,-4,24,-3,24,-1,24,-4,23,-3,23,-1,22,-2,22,-1,22,-1,23,-1,22,0,22,0,23,0,23,0,22,0,22,3,22,3,22,3,23,3,22,6,22,6,22,8,21,8,21,10,19,11,18,11,17,11,16,12,15,13,12,15,11,14,10,14,9,14,6,14]"
54170,117,"[8,-10,8,-11,9,-10,11,-11,11,-11,11,-11,11,-11,13,-11,14,-12,13,-12,15,-11,14,-11,14,-12,16,-11,15,-12,15,-11,15,-11,16,-12,15,-12,16,-12,15,-12,14,-13,14,-13,15,-13,15,-14,14,-15,13,-13,14,-15,13,-15,12,-17,12,-17,13,-18,11,-18,11,-19,12,-20,11,-22,11,-22,10,-22,11,-22,10,-23,10,-23,8,-24,8,-26,8,-27,6,-28,6,-28,5,-29,4,-30,4,-31,4,-32,3,-32,2,-33,0,-33,1,-33,0,-34,0,-34,0,-35,0,0,0,0,0,0,-36,2,-34,3,-35,5,-33,6,-33,7,-33,8,-32,7,-33,8,-31,9,-31,10,-29,10,-28,11,-28,12,-28,12,-27,12,-24,12,-23,13,-22,13,-24,12,-22,13,-21,14,-22,13,-20,15,-21,15,-21,14,-18,16,-18,16,-18,16,-17,17,-14,16,-15,16,-15,16,-14,17,-14,17,-12,17,-14,18,-13,19,-12,19,-13,20,-12,20,-11,18,-11,19,-12,19,-12,19,-14,18,-12,17,-12,18,-13,17,-13,17,-12,16,-13,14,-12,15,-12,13,-13,12,-12,11,-12,10,-12,9]"
54171,117,"[-11,6,-13,6,-14,5,-15,5,-16,4,-16,3,-17,1,-17,2,-17,0,-18,0,-19,0,-19,-1,-18,-1,-18,-4,-19,-4,-19,-4,-19,-5,-19,-4,-18,-6,-18,-8,-16,-7,-17,-7,-18,-7,-16,-9,-16,-9,-18,-8,-18,-9,-18,-9,-17,-9,-19,-11,-19,-11,-18,-10,-19,-11,-19,-11,-19,-12,-20,-12,-19,-13,-21,-12,-19,-14,-20,-14,-20,-15,-22,-14,-22,-16,-23,-16,-23,-16,-23,-18,-24,-17,-25,-17,-23,-17,-26,-19,-27,-18,-26,-18,-25,-21,-26,-22,-24,-22,-25,-22,-26,-23,0,0,0,0,0,0,-25,25,-26,24,-25,23,-25,22,-27,23,-26,22,-26,21,-25,20,-25,20,-25,19,-26,19,-24,18,-25,16,-24,17,-25,16,-23,16,-23,16,-22,15,-22,14,-22,14,-21,16,-22,14,-21,13,-22,13,-23,11,-21,11,-20,13,-21,11,-20,9,-19,11,-20,9,-20,10,-22,9,-20,9,-20,7,-22,8,-22,7,-20,7,-22,7,-22,5,-22,4,-23,4,-23,4,-21,2,-22,1,-23,2,-22,0,-23,0,-22,-2,-21,-3,-20,-4,-19,-6,-18,-6,-17,-7,-16,-8,-14,-9,-13,-10]"
54172,117,"[-7,10,-8,10,-9,11,-10,12,-11,11,-12,11,-13,10,-14,9,-16,10,-16,9,-16,10,-16,8,-17,9,-17,9,-17,7,-17,7,-17,8,-18,8,-16,8,-18,6,-18,6,-19,7,-18,5,-19,6,-19,7,-17,6,-19,7,-18,7,-18,8,-18,7,-18,7,-20,8,-19,9,-20,10,-21,11,-21,9,-21,10,-22,10,-21,10,-23,12,-22,13,-23,13,-23,12,-24,15,-25,13,-25,14,-25,14,-26,16,-27,16,-27,16,-29,16,-26,16,-29,16,-29,17,-29,18,-29,18,-30,18,0,0,0,0,0,0,19,29,19,30,20,28,19,28,17,28,18,28,19,27,18,27,19,26,18,27,17,25,16,25,18,25,17,23,17,23,16,23,18,23,17,21,17,21,16,21,16,20,16,20,16,18,16,19,16,19,16,18,16,18,16,17,16,17,15,16,14,18,14,18,17,17,16,16,16,17,16,17,15,16,16,16,16,18,15,17,14,17,14,18,14,19,14,17,14,19,13,19,11,19,13,19,9,20,9,19,8,19,6,19,5,18,4,18,3,17,0,16,0,16]"
54173,117,"[-1,-12,-1,-13,-1,-14,0,-16,0,-16,0,-15,2,-18,3,-17,3,-18,6,-18,5,-17,5,-17,6,-18,7,-18,9,-18,9,-17,8,-16,10,-17,10,-17,11,-17,11,-17,11,-17,12,-16,12,-17,12,-16,10,-16,11,-16,12,-16,13,-16,13,-16,12,-16,13,-18,15,-17,15,-18,14,-19,15,-19,14,-18,14,-20,16,-19,16,-20,16,-21,16,-20,17,-21,17,-23,17,-22,18,-23,18,-23,17,-23,18,-24,19,-25,20,-26,19,-24,21,-26,21,-26,21,-26,21,-26,23,-27,0,0,0,0,0,0,-26,-24,-27,-25,-26,-23,-23,-24,-25,-24,-24,-24,-25,-24,-24,-23,-22,-24,-21,-24,-21,-24,-20,-21,-20,-22,-21,-22,-19,-22,-19,-21,-21,-21,-19,-20,-18,-20,-16,-20,-17,-19,-17,-20,-16,-18,-17,-19,-16,-18,-16,-19,-16,-19,-15,-18,-16,-18,-16,-16,-13,-18,-15,-17,-14,-18,-15,-16,-13,-18,-12,-20,-13,-19,-14,-19,-14,-19,-12,-20,-12,-20,-11,-19,-11,-20,-8,-20,-9,-21,-7,-21,-5,-22,-6,-23,-4,-21,-3,-21,-3,-21,-1,-19,0,-20,0,-19,0,-18,2,-16,3,-15]"
54174,117,"[-3,11,-3,12,-4,13,-6,14,-7,14,-7,14,-8,14,-10,13,-10,15,-11,15,-11,15,-11,14,-11,14,-14,14,-12,14,-12,14,-12,13,-12,14,-13,14,-13,14,-13,14,-14,13,-13,13,-13,14,-14,14,-13,14,-13,14,-13,16,-12,16,-13,16,-13,16,-12,18,-13,17,-13,18,-12,19,-13,19,-13,19,-11,20,-13,21,-13,21,-13,22,-12,22,-13,23,-13,24,-12,24,-13,25,-11,26,-12,28,-13,28,-13,29,-12,29,-11,29,-11,30,-12,31,-11,32,-11,33,-12,33,0,0,0,0,0,0,33,11,34,11,33,10,33,10,33,10,33,9,33,10,33,9,33,8,31,8,30,7,31,8,31,7,30,6,29,5,28,4,29,4,27,4,29,4,26,3,25,0,26,2,24,2,25,1,26,2,26,1,24,0,23,0,24,1,22,0,22,0,23,0,23,0,22,0,22,0,23,0,23,0,23,0,24,0,23,0,23,0,22,0,23,1,23,1,23,1,22,2,22,3,23,2,22,4,21,4,21,5,18,6,18,6,18,8,16,8,14,8,14,8]"
54175,117,"[0,12,0,14,0,14,0,15,0,16,-1,16,-1,17,-1,18,-2,17,-2,18,-3,18,-3,19,-3,18,-4,19,-3,18,-4,19,-3,19,-3,20,-2,18,-2,18,-2,18,-3,19,-2,20,-1,20,0,20,-1,19,0,20,0,19,0,21,0,21,0,20,0,23,1,22,2,21,3,23,4,23,5,25,7,24,6,24,7,24,8,25,10,25,10,25,10,27,11,27,12,27,14,27,15,28,15,28,16,28,17,28,16,26,18,27,20,29,21,27,23,27,23,27,0,0,0,0,0,0,26,-26,25,-27,21,-26,23,-26,23,-27,21,-27,20,-26,20,-27,18,-28,18,-26,17,-27,16,-27,16,-28,15,-27,15,-28,12,-27,12,-27,11,-26,10,-26,10,-25,7,-26,9,-26,6,-24,6,-25,6,-25,5,-24,3,-25,2,-24,3,-24,2,-23,2,-22,1,-23,1,-23,0,-22,0,-23,0,-23,0,-24,0,-23,0,-24,0,-24,0,-24,0,-24,0,-23,0,-23,0,-23,0,-24,0,-23,0,-23,1,-22,1,-23,0,-21,2,-21,3,-19,4,-19,4,-17,4,-16,5,-16]"
54176,117,"[13,3,13,4,14,4,14,5,14,7,16,7,16,7,16,9,16,9,16,10,16,11,16,12,15,12,16,13,15,12,15,14,15,14,15,13,15,12,16,14,15,14,15,13,15,14,15,12,15,13,16,13,15,13,16,13,16,12,17,13,17,13,17,12,18,13,18,12,20,13,21,12,22,13,21,12,22,12,22,11,23,12,23,12,25,13,27,11,27,12,28,13,28,11,29,10,30,11,31,11,30,9,30,12,31,11,33,11,33,10,33,9,34,10,0,0,0,0,0,0,10,-36,8,-35,6,-34,9,-33,7,-34,7,-34,4,-33,6,-33,4,-32,5,-32,5,-32,4,-30,4,-32,3,-31,4,-30,1,-30,0,-30,0,-29,1,-28,1,-28,0,-27,1,-27,0,-26,0,-26,0,-26,0,-24,0,-25,-1,-24,-2,-24,-3,-24,0,-24,-1,-24,-2,-23,-2,-23,-2,-23,-1,-24,-2,-23,-2,-22,-2,-24,-1,-23,-1,-24,-1,-24,-1,-23,0,-23,0,-24,0,-23,0,-23,0,-25,2,-23,2,-22,2,-22,3,-20,5,-19,5,-19,6,-18,5,-16,7,-15]"
54177,117,"[11,4,12,6,12,6,12,8,13,8,14,9,13,11,13,11,13,13,12,13,13,14,13,14,12,14,12,15,11,16,11,16,12,15,12,16,11,17,11,16,9,16,11,16,11,16,12,16,11,16,12,16,12,17,11,17,12,17,14,17,13,16,12,18,12,17,13,17,15,19,15,18,15,18,17,18,17,18,17,19,18,19,18,20,19,20,20,20,20,20,21,21,21,20,23,21,22,22,23,22,24,20,24,22,25,23,25,22,26,21,27,23,27,22,0,0,0,0,0,0,24,-28,22,-27,21,-29,22,-27,22,-27,22,-29,20,-28,21,-27,18,-27,21,-26,19,-25,19,-24,17,-24,19,-26,18,-25,15,-24,15,-24,16,-23,15,-24,15,-23,13,-23,14,-23,13,-22,13,-22,13,-22,13,-21,13,-22,12,-21,11,-21,10,-21,11,-20,11,-21,11,-20,10,-21,10,-19,11,-21,10,-20,10,-21,12,-22,12,-20,13,-19,13,-21,13,-19,14,-19,13,-19,14,-18,15,-19,13,-18,16,-17,15,-15,16,-14,16,-13,16,-10,15,-10,16,-9,15,-8,16,-6]"
